Table,,,,
Marks ,GP,Grade,,
65.9,3.0,B,0.21,Zero point two one
66.0,3.0,B,0.21,Zero point two one
66.1,3.0,B,0.21,Zero point two one
66.2,3.0,B,0.21,Zero point two one
66.3,3.0,B,0.21,Zero point two one
66.4,3.0,B,0.21,Zero point two one
66.5,3.1,B,0.21,Zero point two one
66.6,3.1,B,0.21,Zero point two one
66.7,3.1,B,0.21,Zero point two one
66.8,3.1,B,0.21,Zero point two one
66.9,3.1,B,0.22,Zero point two two
67.0,3.1,B,0.22,Zero point two two
67.1,3.1,B,0.22,Zero point two two
67.2,3.1,B,0.22,Zero point two two
67.3,3.1,B,0.22,Zero point two two
67.4,3.1,B,0.22,Zero point two two
67.5,3.1,B,0.22,Zero point two two
67.6,3.1,B,0.22,Zero point two two
67.7,3.1,B,0.22,Zero point two two
67.8,3.1,B,0.22,Zero point two two
67.9,3.1,B,0.23,Zero point two three
68.0,3.2,B,0.23,Zero point two three
68.1,3.2,B,0.23,Zero point two three
68.2,3.2,B,0.23,Zero point two three
68.3,3.2,B,0.23,Zero point two three
68.4,3.2,B,0.23,Zero point two three
68.5,3.2,B,0.23,Zero point two three
68.6,3.2,B,0.23,Zero point two three
68.7,3.2,B,0.23,Zero point two three
68.8,3.2,B,0.23,Zero point two three
68.9,3.2,B,0.24,Zero point two four
69.0,3.2,B,0.24,Zero point two four
69.1,3.2,B,0.24,Zero point two four
69.2,3.2,B,0.24,Zero point two four
69.3,3.2,B,0.24,Zero point two four
69.4,3.2,B,0.24,Zero point two four
69.5,3.3,B,0.24,Zero point two four
69.6,3.3,B,0.24,Zero point two four
69.7,3.3,B,0.24,Zero point two four
69.8,3.3,B,0.24,Zero point two four
69.9,3.3,B,0.25,Zero point two five
70.0,3.3,B,0.25,Zero point two five
70.1,3.3,B,0.25,Zero point two five
70.2,3.3,B,0.25,Zero point two five
70.3,3.3,B,0.25,Zero point two five
70.4,3.3,B,0.25,Zero point two five
70.5,3.3,B,0.25,Zero point two five
70.6,3.3,B,0.25,Zero point two five
70.7,3.3,B,0.25,Zero point two five
70.8,3.3,B,0.25,Zero point two five
70.9,3.3,B,0.26,Zero point two six
71.0,3.4,B,0.26,Zero point two six
71.1,3.4,B,0.26,Zero point two six
71.2,3.4,B,0.26,Zero point two six
71.3,3.4,B,0.26,Zero point two six
71.4,3.4,B,0.26,Zero point two six
71.5,3.4,B,0.26,Zero point two six
71.6,3.4,B,0.26,Zero point two six
71.7,3.4,B,0.26,Zero point two six
71.8,3.4,B,0.26,Zero point two six
71.9,3.4,B,0.27,Zero point two seven
72.0,3.4,B,0.27,Zero point two seven
72.1,3.4,B,0.27,Zero point two seven
72.2,3.4,B,0.27,Zero point two seven
72.3,3.4,B,0.27,Zero point two seven
72.4,3.4,B,0.27,Zero point two seven
72.5,3.5,B,0.27,Zero point two seven
72.6,3.5,B,0.27,Zero point two seven
72.7,3.5,B,0.27,Zero point two seven
72.8,3.5,B,0.27,Zero point two seven
72.9,3.5,B,0.28,Zero point two eight
73.0,3.5,B,0.28,Zero point two eight
73.1,3.5,B,0.28,Zero point two eight
73.2,3.5,B,0.28,Zero point two eight
73.3,3.5,B,0.28,Zero point two eight
73.4,3.5,B,0.28,Zero point two eight
73.5,3.5,B,0.28,Zero point two eight
73.6,3.5,B,0.28,Zero point two eight
73.7,3.5,B,0.28,Zero point two eight
73.8,3.5,B,0.28,Zero point two eight
73.9,3.5,B,0.29,Zero point two nine
74.0,3.6,B,0.29,Zero point two nine
74.1,3.6,B,0.29,Zero point two nine
74.2,3.6,B,0.29,Zero point two nine
74.3,3.6,B,0.29,Zero point two nine
74.4,3.6,B,0.29,Zero point two nine
74.5,3.6,B,0.29,Zero point two nine
74.6,3.6,B,0.29,Zero point two nine
74.7,3.6,B,0.29,Zero point two nine
74.8,3.6,B,0.29,Zero point two nine
74.9,3.6,B,0.30,Zero point three
75.0,3.6,B,0.30,Zero point three
75.1,3.6,B,0.30,Zero point three
75.2,3.6,B,0.30,Zero point three
75.3,3.6,B,0.30,Zero point three
75.4,3.6,B,0.30,Zero point three
75.5,3.7,B,0.30,Zero point three
75.6,3.7,B,0.30,Zero point three
75.7,3.7,B,0.30,Zero point three
75.8,3.7,B,0.30,Zero point three
75.9,3.7,B,0.31,Zero point three one
76.0,3.7,B,0.31,Zero point three one
76.1,3.7,B,0.31,Zero point three one
76.2,3.7,B,0.31,Zero point three one
76.3,3.7,B,0.31,Zero point three one
76.4,3.7,B,0.31,Zero point three one
76.5,3.7,B,0.31,Zero point three one
76.6,3.7,B,0.31,Zero point three one
76.7,3.7,B,0.31,Zero point three one
76.8,3.7,B,0.31,Zero point three one
76.9,3.7,B,0.32,Zero point three two
77.0,3.8,B,0.32,Zero point three two
77.1,3.8,B,0.32,Zero point three two
77.2,3.8,B,0.32,Zero point three two
77.3,3.8,B,0.32,Zero point three two
77.4,3.8,B,0.32,Zero point three two
77.5,3.8,B,0.32,Zero point three two
77.6,3.8,B,0.32,Zero point three two
77.7,3.8,B,0.32,Zero point three two
77.8,3.8,B,0.32,Zero point three two
77.9,3.8,B,0.33,Zero point three three
78.0,3.8,B,0.33,Zero point three three
78.1,3.8,B,0.33,Zero point three three
78.2,3.8,B,0.33,Zero point three three
78.3,3.8,B,0.33,Zero point three three
78.4,3.8,B,0.33,Zero point three three
78.5,3.9,B,0.33,Zero point three three
78.6,3.9,B,0.33,Zero point three three
78.7,3.9,B,0.33,Zero point three three
78.8,3.9,B,0.33,Zero point three three
78.9,3.9,B,0.34,Zero point three four
79.0,3.9,B,0.34,Zero point three four
79.1,3.9,B,0.34,Zero point three four
79.2,3.9,B,0.34,Zero point three four
79.3,3.9,B,0.34,Zero point three four
79.4,3.9,B,0.34,Zero point three four
79.5,3.9,B,0.34,Zero point three four
79.6,3.9,B,0.34,Zero point three four
79.7,3.9,B,0.34,Zero point three four
79.8,3.9,B,0.34,Zero point three four
79.9,3.9,B,0.35,Zero point three five
80.0,4.0,A,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.35,Zero point three five
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.36,Zero point three six
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.37,Zero point three seven
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.38,Zero point three eight
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.39,Zero point three nine
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.40,Zero point four
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.41,Zero point four one
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.42,Zero point four two
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.43,Zero point four three
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.44,Zero point four four
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.45,Zero point four five
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.46,Zero point four six
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.47,Zero point four seven
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.48,Zero point four eight
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.49,Zero point four nine
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.50,Zero point five
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.51,Zero point five one
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.52,Zero point five two
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.53,Zero point five three
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.54,Zero point five four
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
,,,0.55,Zero point five five
